	Atlas	Tissue	Cell.types	Number.of.genes
49	TM, FACS	Liver	Liver.hepatocyte	198
75	TM, FACS	Marrow	Marrow.hematopoietic stem cell	126
19	TM, FACS	Colon	Colon.epithelial cell of large intestine	119
25	TM, FACS	Fat	Fat.mesenchymal stem cell of adipose	115
5	TM, FACS	BrainMicroglia	BrainMicroglia.microglial cell	106
11	TM, FACS	BrainNeurons	BrainNeurons.neuronal stem cell	92
10	TM, FACS	BrainNeurons	BrainNeurons.neuron	90
13	TM, FACS	BrainNeurons	BrainNeurons.oligodendrocyte precursor cell	82
31	TM, FACS	Heart	Heart.cardiac muscle cell	72
12	TM, FACS	BrainNeurons	BrainNeurons.oligodendrocyte	59
68	TM, FACS	Mammary	Mammary.basal cell	40
95	TM, FACS	Pancreas	Pancreas.type B pancreatic cell	39
20	TM, FACS	Colon	Colon.large intestine goblet cell	32
17	TM, FACS	Colon	Colon.enterocyte of epithelium of large intestine	30
72	TM, FACS	Marrow	Marrow.B cell	27
105	TM, FACS	Tongue	Tongue.basal cell of epidermis	27
36	TM, FACS	Heart	Heart.fibroblast	22
3	TM, FACS	Bladder	Bladder.mesenchymal cell	19
98	TM, FACS	Skin	Skin.keratinocyte stem cell	17
106	TM, FACS	Tongue	Tongue.keratinocyte	17
78	TM, FACS	Marrow	Marrow.neutrophil	15
6	TM, FACS	BrainNeurons	BrainNeurons.astrocyte of the cerebral cortex	14
90	TM, FACS	Pancreas	Pancreas.pancreatic acinar cell	13
2	TM, FACS	Bladder	Bladder.bladder cell	12
45	TM, FACS	Kidney	Kidney.kidney tubule cell	12
104	TM, FACS	Thymus	Thymus.T cell	11
53	TM, FACS	Lung	Lung.ciliated cell	10
67	TM, FACS	Lung	Lung.type II pneumocyte	10
33	TM, FACS	Heart	Heart.endothelial cell	9
70	TM, FACS	Mammary	Mammary.luminal epithelial cell of mammary gland	9
73	TM, FACS	Marrow	Marrow.Fraction A pre-pro B cell	7
26	TM, FACS	Fat	Fat.myeloid cell	6
89	TM, FACS	Pancreas	Pancreas.pancreatic A cell	6
84	TM, FACS	Muscle	Muscle.skeletal muscle satellite cell	5
110	TM, FACS	Trachea	Trachea.stromal cell	5
16	TM, FACS	Colon	Colon.Brush cell of epithelium proper of large intestine	4
74	TM, FACS	Marrow	Marrow.granulocyte	4
92	TM, FACS	Pancreas	Pancreas.pancreatic ductal cell	4
96	TM, FACS	Skin	Skin.basal cell of epidermis	4
44	TM, FACS	Kidney	Kidney.kidney collecting duct cell	3
50	TM, FACS	Liver	Liver.Kupffer cell	3
91	TM, FACS	Pancreas	Pancreas.pancreatic D cell	3
97	TM, FACS	Skin	Skin.epidermal cell	3
100	TM, FACS	Spleen	Spleen.B cell	3
8	TM, FACS	BrainNeurons	BrainNeurons.brain pericyte	2
24	TM, FACS	Fat	Fat.granulocyte	2
38	TM, FACS	Heart	Heart.leukocyte	2
48	TM, FACS	Liver	Liver.endothelial cell of hepatic sinusoid	2
56	TM, FACS	Lung	Lung.endothelial cell	2
76	TM, FACS	Marrow	Marrow.monocyte	2
77	TM, FACS	Marrow	Marrow.natural killer cell	2
7	TM, FACS	BrainNeurons	BrainNeurons.Bergmann glial cell	1
9	TM, FACS	BrainNeurons	BrainNeurons.endothelial cell	1
22	TM, FACS	Fat	Fat.endothelial cell	1
29	TM, FACS	Fat	Fat.smooth muscle cell	1
30	TM, FACS	Fat	Fat.T cell	1
32	TM, FACS	Heart	Heart.endocardial cell	1
39	TM, FACS	Heart	Heart.smooth muscle cell	1
42	TM, FACS	Kidney	Kidney.fenestrated cell	1
64	TM, FACS	Lung	Lung.stromal cell	1
102	TM, FACS	Spleen	Spleen.T cell	1
108	TM, FACS	Trachea	Trachea.epithelial cell	1
1	TM, FACS	Bladder	Bladder.basal cell of urothelium	0
4	TM, FACS	BrainMicroglia	BrainMicroglia.macrophage	0
14	TM, FACS	BrainNeurons	BrainNeurons.smooth muscle cell	0
15	TM, FACS	BrainNeurons	BrainNeurons.unknown	0
18	TM, FACS	Colon	Colon.enteroendocrine cell	0
21	TM, FACS	Fat	Fat.B cell	0
23	TM, FACS	Fat	Fat.epithelial cell	0
27	TM, FACS	Fat	Fat.natural killer cell	0
28	TM, FACS	Fat	Fat.neutrophil	0
34	TM, FACS	Heart	Heart.epicardial adipocyte	0
35	TM, FACS	Heart	Heart.erythrocyte	0
37	TM, FACS	Heart	Heart.hematopoietic cell	0
40	TM, FACS	Heart	Heart.unknown	0
41	TM, FACS	Kidney	Kidney.endothelial cell	0
43	TM, FACS	Kidney	Kidney.fibroblast	0
46	TM, FACS	Kidney	Kidney.leukocyte	0
47	TM, FACS	Liver	Liver.B cell	0
51	TM, FACS	Liver	Liver.natural killer cell	0
52	TM, FACS	Lung	Lung.B cell	0
54	TM, FACS	Lung	Lung.Clara cell	0
55	TM, FACS	Lung	Lung.dendritic cell	0
57	TM, FACS	Lung	Lung.epithelial cell	0
58	TM, FACS	Lung	Lung.leukocyte	0
59	TM, FACS	Lung	Lung.lung neuroendocrine cell	0
60	TM, FACS	Lung	Lung.macrophage	0
61	TM, FACS	Lung	Lung.mesothelial cell	0
62	TM, FACS	Lung	Lung.monocyte	0
63	TM, FACS	Lung	Lung.natural killer cell	0
65	TM, FACS	Lung	Lung.T cell	0
66	TM, FACS	Lung	Lung.type I pneumocyte	0
69	TM, FACS	Mammary	Mammary.endothelial cell	0
71	TM, FACS	Mammary	Mammary.stromal cell	0
79	TM, FACS	Marrow	Marrow.T cell	0
80	TM, FACS	Muscle	Muscle.B cell	0
81	TM, FACS	Muscle	Muscle.endothelial cell	0
82	TM, FACS	Muscle	Muscle.macrophage	0
83	TM, FACS	Muscle	Muscle.mesenchymal stem cell	0
85	TM, FACS	Muscle	Muscle.skeletal muscle satellite stem cell	0
86	TM, FACS	Muscle	Muscle.T cell	0
87	TM, FACS	Pancreas	Pancreas.endothelial cell	0
88	TM, FACS	Pancreas	Pancreas.leukocyte	0
93	TM, FACS	Pancreas	Pancreas.pancreatic PP cell	0
94	TM, FACS	Pancreas	Pancreas.pancreatic stellate cell	0
99	TM, FACS	Skin	Skin.stem cell of epidermis	0
101	TM, FACS	Spleen	Spleen.myeloid cell	0
103	TM, FACS	Thymus	Thymus.mesenchymal stem cell	0
107	TM, FACS	Trachea	Trachea.endothelial cell	0
109	TM, FACS	Trachea	Trachea.leukocyte	0
661	TM, 10X	Tongue	Tongue.basal cell of epidermis	445
751	TM, 10X	Trachea	Trachea.stromal cell	216
211	TM, 10X	Liver	Liver.hepatocyte	215
161	TM, 10X	Kidney	Kidney.kidney tubule cell	134
601	TM, 10X	Spleen	Spleen.B cell	108
671	TM, 10X	Tongue	Tongue.keratinocyte	92
481	TM, 10X	Marrow	Marrow.hematopoietic stem cell	67
231	TM, 10X	Lung	Lung.ciliated cell	56
331	TM, 10X	Lung	Lung.stromal cell	49
610	TM, 10X	Heart	Heart.cardiac muscle cell	33
651	TM, 10X	Thymus	Thymus.T cell	28
210	TM, 10X	Bladder	Bladder.bladder cell	24
401	TM, 10X	Mammary	Mammary.luminal cell of lactiferous duct	19
510	TM, 10X	Bladder	Bladder.mesenchymal cell	18
321	TM, 10X	Lung	Lung.natural killer cell	17
281	TM, 10X	Lung	Lung.macrophage	13
351	TM, 10X	Lung	Lung.type II pneumocyte	12
541	TM, 10X	Muscle	Muscle.endothelial cell	10
571	TM, 10X	Muscle	Muscle.skeletal muscle satellite cell	10
471	TM, 10X	Marrow	Marrow.granulocyte	9
561	TM, 10X	Muscle	Muscle.mesenchymal stem cell	9
381	TM, 10X	Mammary	Mammary.basal cell	8
491	TM, 10X	Marrow	Marrow.macrophage	8
531	TM, 10X	Muscle	Muscle.chondroblast	8
731	TM, 10X	Trachea	Trachea.leukocyte	8
191	TM, 10X	Kidney	Kidney.smooth muscle cell	4
711	TM, 10X	Trachea	Trachea.endothelial cell	4
721	TM, 10X	Trachea	Trachea.epithelial cell	4
261	TM, 10X	Lung	Lung.endothelial cell	3
301	TM, 10X	Lung	Lung.mesothelial cell	3
611	TM, 10X	Spleen	Spleen.dendritic cell	3
131	TM, 10X	Kidney	Kidney.fenestrated cell	2
251	TM, 10X	Lung	Lung.dendritic cell	2
631	TM, 10X	Spleen	Spleen.T cell	2
710	TM, 10X	Heart	Heart.endocardial cell	1
910	TM, 10X	Heart	Heart.erythrocyte	1
1010	TM, 10X	Heart	Heart.fibroblast	1
151	TM, 10X	Kidney	Kidney.kidney collecting duct cell	1
181	TM, 10X	Kidney	Kidney.macrophage	1
411	TM, 10X	Mammary	Mammary.macrophage	1
421	TM, 10X	Mammary	Mammary.stromal cell	1
431	TM, 10X	Mammary	Mammary.T cell	1
441	TM, 10X	Marrow	Marrow.B cell	1
461	TM, 10X	Marrow	Marrow.Fraction A pre-pro B cell	1
501	TM, 10X	Marrow	Marrow.monocyte	1
591	TM, 10X	Muscle	Muscle.unknown	1
621	TM, 10X	Spleen	Spleen.macrophage	1
681	TM, 10X	Tongue	Tongue.unknown	1
741	TM, 10X	Trachea	Trachea.neuroendocrine cell	1
111	TM, 10X	Bladder	Bladder.basal cell of urothelium	0
310	TM, 10X	Bladder	Bladder.endothelial cell	0
410	TM, 10X	Bladder	Bladder.leukocyte	0
810	TM, 10X	Heart	Heart.endothelial cell	0
112	TM, 10X	Heart	Heart.smooth muscle cell	0
121	TM, 10X	Kidney	Kidney.endothelial cell	0
141	TM, 10X	Kidney	Kidney.fibroblast	0
171	TM, 10X	Kidney	Kidney.leukocyte	0
201	TM, 10X	Liver	Liver.endothelial cell	0
221	TM, 10X	Lung	Lung.B cell	0
241	TM, 10X	Lung	Lung.Clara cell	0
271	TM, 10X	Lung	Lung.leukocyte	0
291	TM, 10X	Lung	Lung.mast cell	0
311	TM, 10X	Lung	Lung.monocyte	0
341	TM, 10X	Lung	Lung.T cell	0
361	TM, 10X	Lung	Lung.unknown	0
371	TM, 10X	Mammary	Mammary.B cell	0
391	TM, 10X	Mammary	Mammary.endothelial cell	0
451	TM, 10X	Marrow	Marrow.erythrocyte	0
511	TM, 10X	Marrow	Marrow.T cell	0
521	TM, 10X	Muscle	Muscle.B cell	0
551	TM, 10X	Muscle	Muscle.macrophage	0
581	TM, 10X	Muscle	Muscle.T cell	0
641	TM, 10X	Thymus	Thymus.stromal cell	0
691	TM, 10X	Trachea	Trachea.basal cell of epithelium of trachea	0
701	TM, 10X	Trachea	Trachea.ciliated epithelial cell	0
724	MCA	Testis	Testis.Elongating spermatid	98
6010	MCA	Brain	Brain.Myelinating oligodendrocyte	67
754	MCA	TrophoblastStemCells	TrophoblastStemCells.TS_Mrpl12_high	43
911	MCA	EmbryonicStemCells	EmbryonicStemCells.ES_Actb_high	26
480	MCA	NeonatalCalvaria	NeonatalCalvaria.Preosteoblast/Osteoblast/Bone cell/Cartilage cell	25
233	MCA	Lung	Lung.AT2 Cell	17
1410	MCA	Bladder	Bladder.Urothelium	13
677	MCA	SmallIntestine	SmallIntestine.Epithelium of small intestinal villi_Fabp1 high	12
740	MCA	Testis	Testis.Spermatocyte_Slc2a3 high	11
200	MCA	Kidney	Kidney.S3 proximal tubule cells	10
236	MCA	Lung	Lung.Ciliated cell	10
678	MCA	SmallIntestine	SmallIntestine.Epithelium of small intestinal villi_Fabp6 high	10
733	MCA	Testis	Testis.Spermatids_Cst13 high	10
492	MCA	NeonatalHeart	NeonatalHeart.Left ventricle cardiomyocyte_Myl2 high	9
196	MCA	Kidney	Kidney.Proximal tubule brush border cell	8
225	MCA	Liver	Liver.Periportal hepatocyte	8
3410	MCA	BoneMarrow	BoneMarrow.Monocyte progenitor cell_Ctsg high	7
1210	MCA	Bladder	Bladder.Stromal cell_Dpt high	6
154	MCA	FetalLung	FetalLung.Stromal cell_Ankfy1 high	6
213	MCA	Liver	Liver.Endothelial cell	6
2211	MCA	Liver	Liver.Kuppfer cell	6
422	MCA	MesenchymalStemCells	MesenchymalStemCells.Mesenchymal stem cell_Cxcl1 high	6
1100	MCA	Bladder	Bladder.Basal epithelial cell	5
4110	MCA	BoneMarrow	BoneMarrow.Neutrophil_Fcnb high	5
981	MCA	FetalBrain	FetalBrain.Granule neurons	5
219	MCA	Liver	Liver.Hepatocyte_Fabp1 high	5
224	MCA	Liver	Liver.Pericentral hepatocytes	5
237	MCA	Lung	Lung.Clara Cell	5
583	MCA	Ovary	Ovary.luteal cells	5
5911	MCA	Pancreas	Pancreas.Acinar cell	5
665	MCA	Prostate	Prostate.Prostate gland cell	5
726	MCA	Testis	Testis.Leydig cell	5
761	MCA	Uterus	Uterus.Glandular epithelium_Sprr2f high	5
232	MCA	Lung	Lung.AT1 Cell	4
2811	MCA	MammaryGlandInvolution	MammaryGlandInvolution.Secretory alveoli cell_Trf high	4
432	MCA	MesenchymalStemCells	MesenchymalStemCells.Stromal cell_Col1a2 high	4
595	MCA	Pancreas	Pancreas.Ductal cell	4
736	MCA	Testis	Testis.Spermatocyte_1700001F09Rik high	4
744	MCA	Thymus	Thymus.B cell	4
770	MCA	Uterus	Uterus.Stromal cell_Ccl11 high	4
1110	MCA	Bladder	Bladder.Stromal cell_Car3 high	3
6210	MCA	Brain	Brain.Oligodendrocyte precursor cell	3
1911	MCA	Kidney	Kidney.Intercalated cells of collecting duct_Slc26a4 high	3
379	MCA	MammaryGlandPregnancy	MammaryGlandPregnancy.Ductal luminal cell	3
448	MCA	MesenchymalStemCellsPrimary	MesenchymalStemCellsPrimary.Proerythrocytes	3
522	MCA	NeonatalMuscle	NeonatalMuscle.Skeletal muscle cell_Tnnc2 high	3
567	MCA	NeonatalSkin	NeonatalSkin.Melanocyte	3
590	MCA	Ovary	Ovary.Thecal cell	3
636	MCA	Placenta	Placenta.Decidual stromal cell	3
645	MCA	Placenta	Placenta.Invasive spongiotrophoblast	3
656	MCA	Placenta	Placenta.Spiral artery trophoblast giant cells	3
672	MCA	SmallIntestine	SmallIntestine.Columnar epithelium	3
717	MCA	Stomach	Stomach.Parietal cell	3
729	MCA	Testis	Testis.Pre-Sertoli cell_Ctsl high	3
773	MCA	Uterus	Uterus.Stromal cell_Has1 high	3
127	MCA	FetalIntestine	FetalIntestine.Neuronal Cells_Rtn1 high	2
135	MCA	FetalLiver	FetalLiver.Erythroblast_Klf1 high	2
136	MCA	FetalLiver	FetalLiver.Hepatocyte_Afp high	2
158	MCA	FetalStomach	FetalStomach.Endocrine cell	2
198	MCA	Kidney	Kidney.Proximal tubule cell_Osgin1 high	2
199	MCA	Kidney	Kidney.S1 proximal tubule cells	2
230	MCA	Lung	Lung.Alveolar macrophage_Ear2 high	2
388	MCA	MammaryGlandPregnancy	MammaryGlandPregnancy.NK_cells_Gzmb high	2
389	MCA	MammaryGlandPregnancy	MammaryGlandPregnancy.Secretory alveoli cell	2
4511	MCA	MesenchymalStemCellsPrimary	MesenchymalStemCellsPrimary.Stromal cell_Col1a2 high	2
462	MCA	Muscle	Muscle.Muscle cell_Tnnc2 high	2
573	MCA	NeonatalSkin	NeonatalSkin.Osteoblast_Ppic high	2
597	MCA	Pancreas	Pancreas.Endothelial cell_Fabp4 high	2
6101	MCA	Pancreas	Pancreas.Stromal cell_Smoc2 high	2
612	MCA	Pancreas	Pancreas.β-cell	2
628	MCA	PeripheralBlood	PeripheralBlood.Neutrophil_Il1b high	2
654	MCA	Placenta	Placenta.PE lineage cell_S100g high	2
655	MCA	Placenta	Placenta.Progenitor trophoblast_Gjb3 high	2
658	MCA	Placenta	Placenta.Spongiotrophoblast_Phlda2 high	2
670	MCA	SmallIntestine	SmallIntestine.B cell_Jchain high	2
675	MCA	SmallIntestine	SmallIntestine.Epithelial cell_Kcne3 high	2
688	MCA	SmallIntestine	SmallIntestine.S cell_Chgb high	2
693	MCA	SmallIntestine	SmallIntestine.T cell_Cd7 high	2
719	MCA	Stomach	Stomach.Pit cell_Ifrd1 high	2
728	MCA	Testis	Testis.Pre-Sertoli cell_Cst9 high	2
760	MCA	Uterus	Uterus.Glandular epithelium_Ltf high	2
811	MCA	Bladder	Bladder.Mesenchymal stromal cell	1
2710	MCA	BoneMarrow	BoneMarrow.Macrophage_C1qc high	1
3210	MCA	BoneMarrow	BoneMarrow.Megakaryocyte progenitor cell	1
3310	MCA	BoneMarrow	BoneMarrow.Monocyte progenitor	1
3510	MCA	BoneMarrow	BoneMarrow.Monocyte progenitor cell_Prtn3 high	1
4410	MCA	BoneMarrow	BoneMarrow.Neutrophil_Ltf high	1
7010	MCA	EmbryonicMesenchyme	EmbryonicMesenchyme.Ganglion cell_Cartpt high	1
7510	MCA	EmbryonicMesenchyme	EmbryonicMesenchyme.Muscle	1
991	MCA	FetalBrain	FetalBrain.Hippocampus neurons_Asic4 high	1
1021	MCA	FetalBrain	FetalBrain.Neural progenitor cell	1
1101	MCA	FetalBrain	FetalBrain.Schwann cell	1
120	MCA	FetalIntestine	FetalIntestine.Epithelial cell_Lgals2 high	1
128	MCA	FetalIntestine	FetalIntestine.Stromal cell_Adamdec1 high	1
159	MCA	FetalStomach	FetalStomach.Endocrine progenitor cell	1
160	MCA	FetalStomach	FetalStomach.Epithelial cell	1
190	MCA	Kidney	Kidney.Intercalated cells of collecting duct_Aqp6 high	1
207	MCA	Kidney	Kidney.Thick ascending limb of the loop of Henle	1
2111	MCA	Liver	Liver.Dendritic cell_Cst3 high	1
227	MCA	Liver	Liver.T cell_Gzma high	1
254	MCA	Lung	Lung.NK Cell	1
272	MCA	MammaryGlandInvolution	MammaryGlandInvolution.Macrophage_Pf4 high	1
282	MCA	MammaryGlandInvolution	MammaryGlandInvolution.Stromal cell	1
385	MCA	MammaryGlandPregnancy	MammaryGlandPregnancy.Myoepithelial cell	1
402	MCA	MammaryGlandVirgin	MammaryGlandVirgin.Macrophage_C1qc high	1
409	MCA	MammaryGlandVirgin	MammaryGlandVirgin.T cell_Ly6c2 high	1
418	MCA	MesenchymalStemCells	MesenchymalStemCells.Erythrocytes	1
438	MCA	MesenchymalStemCellsPrimary	MesenchymalStemCellsPrimary.Eosinophils	1
457	MCA	Muscle	Muscle.Erythroblast_Car2 high	1
477	MCA	NeonatalCalvaria	NeonatalCalvaria.Neuron	1
483	MCA	NeonatalHeart	NeonatalHeart.Atrial cardiomyocyte	1
484	MCA	NeonatalHeart	NeonatalHeart.Atrial cardiomyocyte_Acta2 high	1
490	MCA	NeonatalHeart	NeonatalHeart.Endothelial cell_Igfbp5 high	1
496	MCA	NeonatalHeart	NeonatalHeart.Smooth muscle cell	1
497	MCA	NeonatalHeart	NeonatalHeart.Stromal cell_Col3a1 high	1
500	MCA	NeonatalHeart	NeonatalHeart.Ventricle cardiomyocyte_Kcnj8 high	1
503	MCA	NeonatalMuscle	NeonatalMuscle.Brown adipose tissue	1
508	MCA	NeonatalMuscle	NeonatalMuscle.Erythroblast_Car2 high	1
513	MCA	NeonatalMuscle	NeonatalMuscle.Mast cell	1
515	MCA	NeonatalMuscle	NeonatalMuscle.Muscle cell_Actc1 high	1
516	MCA	NeonatalMuscle	NeonatalMuscle.Muscle cell_Myl9 high	1
524	MCA	NeonatalMuscle	NeonatalMuscle.Stromal cell_Ndn high	1
527	MCA	NeonatalMuscle	NeonatalMuscle.Tendon stem/progenitor cell	1
5311	MCA	NeonatalRib	NeonatalRib.Cartilage cell_Cxcl14 high	1
554	MCA	NeonatalSkin	NeonatalSkin.Brown adipose tissue_Cidea high	1
577	MCA	Ovary	Ovary.Cumulus cell_Car14 high	1
579	MCA	Ovary	Ovary.Cumulus cell_Ube2c high	1
599	MCA	Pancreas	Pancreas.Endothelial cell_Tm4sf1 high	1
6011	MCA	Pancreas	Pancreas.Erythroblast_Igkc high	1
630	MCA	PeripheralBlood	PeripheralBlood.Neutrophil_Retnlg high	1
6311	MCA	PeripheralBlood	PeripheralBlood.NK cell_Gzma high	1
633	MCA	PeripheralBlood	PeripheralBlood.T cell_Trbc2 high	1
638	MCA	Placenta	Placenta.Endodermal cell_Afp high	1
648	MCA	Placenta	Placenta.Macrophage_Spp1 high	1
6511	MCA	Placenta	Placenta.NK cell	1
657	MCA	Placenta	Placenta.Spongiotrophoblast_Hsd11b2 high	1
687	MCA	SmallIntestine	SmallIntestine.Paneth cell	1
690	MCA	SmallIntestine	SmallIntestine.Stromal cell_Adamdec1 high	1
707	MCA	Stomach	Stomach.Antral mucous cell	1
7111	MCA	Stomach	Stomach.Epithelial cell_Krt20 high	1
713	MCA	Stomach	Stomach.G cell	1
7211	MCA	Stomach	Stomach.Stomach cell_Mt2 high	1
738	MCA	Testis	Testis.Spermatocyte_Calm2 high	1
762	MCA	Uterus	Uterus.Granulocyte	1
2100	MCA	Bladder	Bladder.Dendritic cell_Cd74 high	0
3100	MCA	Bladder	Bladder.Dendritic cell_Lyz2 high	0
4100	MCA	Bladder	Bladder.Endothelial cell_Ly6c1 high	0
5100	MCA	Bladder	Bladder.Epithelial cell_Gm23935 high	0
6100	MCA	Bladder	Bladder.Epithelial cell_Upk3a high	0
775	MCA	Bladder	Bladder.Macrophage_Pf4 high	0
912	MCA	Bladder	Bladder.NK cell	0
1011	MCA	Bladder	Bladder.Smooth muscle cell	0
1310	MCA	Bladder	Bladder.Umbrella cell	0
1510	MCA	Bladder	Bladder.Vascular endothelial cell	0
1610	MCA	Bladder	Bladder.Vascular smooth muscle progenitor cell	0
1710	MCA	BoneMarrow	BoneMarrow.B cell	0
1810	MCA	BoneMarrow	BoneMarrow.B cell_Igkc high	0
1910	MCA	BoneMarrow	BoneMarrow.Basophil	0
2010	MCA	BoneMarrow	BoneMarrow.Dendritic cell_H2-Eb1 high	0
2110	MCA	BoneMarrow	BoneMarrow.Dendritic cell_Siglech high	0
2210	MCA	BoneMarrow	BoneMarrow.Eosinophil progenitor cell	0
2310	MCA	BoneMarrow	BoneMarrow.Erythroblast	0
2410	MCA	BoneMarrow	BoneMarrow.Erythrocyte progenitor_Car1 high	0
2510	MCA	BoneMarrow	BoneMarrow.Erythrocyte progenitor_Hba-a1 high	0
2610	MCA	BoneMarrow	BoneMarrow.Hematopoietic stem progenitor cell	0
2810	MCA	BoneMarrow	BoneMarrow.Macrophage_Cd74 high	0
2910	MCA	BoneMarrow	BoneMarrow.Macrophage_Ms4a6c high	0
3010	MCA	BoneMarrow	BoneMarrow.Macrophage_S100a4 high	0
3110	MCA	BoneMarrow	BoneMarrow.Mast cell	0
3610	MCA	BoneMarrow	BoneMarrow.Monocyte_Mif high	0
3710	MCA	BoneMarrow	BoneMarrow.Monocyte_Prtn3 high	0
3810	MCA	BoneMarrow	BoneMarrow.Multipotent progenitor_Ctla2a high	0
3910	MCA	BoneMarrow	BoneMarrow.Neutrophil progenitor	0
4010	MCA	BoneMarrow	BoneMarrow.Neutrophil_Cebpe high	0
4210	MCA	BoneMarrow	BoneMarrow.Neutrophil_Ighg1 high	0
4310	MCA	BoneMarrow	BoneMarrow.Neutrophil_Lcn2 high	0
4510	MCA	BoneMarrow	BoneMarrow.Neutrophil_Mmp8 high	0
4610	MCA	BoneMarrow	BoneMarrow.Neutrophil_Ngp high	0
4710	MCA	BoneMarrow	BoneMarrow.Neutrophil_Retnlg high	0
4810	MCA	BoneMarrow	BoneMarrow.Pre-pro B cell	0
4910	MCA	BoneMarrow	BoneMarrow.T cell_Ms4a4b high	0
5010	MCA	Brain	Brain.Astrocyte_Atp1b2 high	0
5110	MCA	Brain	Brain.Astrocyte_Mfe8 high	0
5210	MCA	Brain	Brain.Astrocyte_Pla2g7 high	0
5310	MCA	Brain	Brain.Astroglial cell	0
5410	MCA	Brain	Brain.Granulocyte_Il33 high	0
5510	MCA	Brain	Brain.Granulocyte_Ngp high	0
5610	MCA	Brain	Brain.Hypothalamic ependymal cell	0
5710	MCA	Brain	Brain.Macrophage_Klf2 high	0
5810	MCA	Brain	Brain.Macrophage_Lyz2 high	0
5910	MCA	Brain	Brain.Microglia	0
6110	MCA	Brain	Brain.Neuron	0
6310	MCA	Brain	Brain.Pan-GABAergic	0
6410	MCA	Brain	Brain.Schwann cell	0
6510	MCA	EmbryonicMesenchyme	EmbryonicMesenchyme.Dendritic Cell	0
6610	MCA	EmbryonicMesenchyme	EmbryonicMesenchyme.Endothelial Cell	0
6710	MCA	EmbryonicMesenchyme	EmbryonicMesenchyme.Erythroblast_Hbb-bs high	0
6810	MCA	EmbryonicMesenchyme	EmbryonicMesenchyme.Erythroblast_Mt2 high	0
6910	MCA	EmbryonicMesenchyme	EmbryonicMesenchyme.Erythroid Cell	0
7110	MCA	EmbryonicMesenchyme	EmbryonicMesenchyme.Ganglion cell_Gal high	0
7210	MCA	EmbryonicMesenchyme	EmbryonicMesenchyme.Ganglion cell_Mapt high	0
7310	MCA	EmbryonicMesenchyme	EmbryonicMesenchyme.Lymphoid progenitor cell	0
7410	MCA	EmbryonicMesenchyme	EmbryonicMesenchyme.Macrophage	0
7610	MCA	EmbryonicMesenchyme	EmbryonicMesenchyme.Neuron_Igfbpl1 high	0
776	MCA	EmbryonicMesenchyme	EmbryonicMesenchyme.Neuron_Isl1 high	0
781	MCA	EmbryonicMesenchyme	EmbryonicMesenchyme.Neuron_Npy high	0
791	MCA	EmbryonicMesenchyme	EmbryonicMesenchyme.Neuronal Progenitors	0
801	MCA	EmbryonicMesenchyme	EmbryonicMesenchyme.Neutrophil	0
812	MCA	EmbryonicMesenchyme	EmbryonicMesenchyme.Progenitor cell_Ptprcap high	0
821	MCA	EmbryonicMesenchyme	EmbryonicMesenchyme.Reproductive tissues	0
831	MCA	EmbryonicMesenchyme	EmbryonicMesenchyme.Skeletal Muscle	0
841	MCA	EmbryonicMesenchyme	EmbryonicMesenchyme.Stromal Cell Cldn11 high	0
851	MCA	EmbryonicMesenchyme	EmbryonicMesenchyme.Stromal Cell_Agtr2 high	0
861	MCA	EmbryonicMesenchyme	EmbryonicMesenchyme.Stromal Cell_Cnmd high	0
871	MCA	EmbryonicMesenchyme	EmbryonicMesenchyme.Stromal cell_Cxcl12 high	0
881	MCA	EmbryonicMesenchyme	EmbryonicMesenchyme.Stromal Cell_Cxcl14 high	0
891	MCA	EmbryonicMesenchyme	EmbryonicMesenchyme.Stromal Cell_fabp7 high	0
901	MCA	EmbryonicStemCells	EmbryonicStemCells.ES_2C_like	0
921	MCA	EmbryonicStemCells	EmbryonicStemCells.ES_Nedd4_high	0
931	MCA	EmbryonicStemCells	EmbryonicStemCells.ES_Rps28_high	0
941	MCA	FetalBrain	FetalBrain.Dopaminergic neurons	0
951	MCA	FetalBrain	FetalBrain.Ependymal cell	0
961	MCA	FetalBrain	FetalBrain.Erythroblast_Hbb-bh1 high	0
971	MCA	FetalBrain	FetalBrain.Erythrocyte_Hbb-bt high	0
1001	MCA	FetalBrain	FetalBrain.Macrophage	0
1012	MCA	FetalBrain	FetalBrain.Microglia	0
1031	MCA	FetalBrain	FetalBrain.Neuron_Kpna2 high	0
1041	MCA	FetalBrain	FetalBrain.Neuron_tuba1c high	0
1051	MCA	FetalBrain	FetalBrain.Postmitotic neurons_Lhx9 high	0
1061	MCA	FetalBrain	FetalBrain.Purkinje cell	0
1071	MCA	FetalBrain	FetalBrain.Pyramidal neuron cell	0
1081	MCA	FetalBrain	FetalBrain.Radial glia_Fabp7 high	0
1091	MCA	FetalBrain	FetalBrain.Radial glia_Vim high	0
1111	MCA	FetalBrain	FetalBrain.Stromal cell	0
1121	MCA	FetalIntestine	FetalIntestine.Acinar cell	0
113	MCA	FetalIntestine	FetalIntestine.Endothelial cell	0
114	MCA	FetalIntestine	FetalIntestine.Enteric muscle cell	0
115	MCA	FetalIntestine	FetalIntestine.Enterocyte progenitor	0
116	MCA	FetalIntestine	FetalIntestine.Enterocyte progenitor_late_Ccnb1 high	0
117	MCA	FetalIntestine	FetalIntestine.Enterocyte progenitor_late_Ube2c high	0
