"Celltype","MarkerGenes","tp","fp","fn","precision","recall","f1"
"Heart.endothelial cell","Seurat",1043.66666666667,13832,224.333333333333,0.0739588331845072,0.823080983426836,0.134775933292177
"Heart.fibroblast","Seurat",1753.1,14237.7,333.9,0.125205466523767,0.840009570121765,0.214391417056322
"Kidney.endothelial cell","Seurat",31.98,13119.7,8.02,0.0036556801898405,0.79949998319149,0.00725886923260987
"Kidney.fibroblast","Seurat",27.44,26789.46,37.56,0.00108862200926524,0.422153840810061,0.00217002148972824
"Kidney.kidney collecting duct cell","Seurat",28.98,7261.28,15.02,0.0404805848794058,0.658636348843574,0.0663514663092792
"Kidney.kidney tubule cell","Seurat",167.48,6366.58,93.52,0.111861675800756,0.641685827970505,0.163341486863792
"Liver.B cell","Seurat",19,17031,10,0.0011143694864586,0.655172407627106,0.00222495477646589
"Liver.endothelial cell of hepatic sinusoid","Seurat",177.272727272727,11930.3636363636,18.7272727272727,0.0149978047914126,0.904452692378651,0.0294942058284174
"Liver.hepatocyte","Seurat",376.333333333333,12946.9166666667,22.6666666666667,0.0359545225122323,0.943191314737002,0.0686918003484607
"Liver.Kupffer cell","Seurat",40.5,12969.25,10.5,0.00315596378641203,0.794117659330368,0.0062861954793334
"Liver.natural killer cell","Seurat",27.3333333333333,7026.66666666667,7.66666666666667,0.00390068022534251,0.780952374140422,0.00776059413328767
"Lung.ciliated cell","Seurat",13.4285714285714,431.952380952381,0.571428571428571,0.0327037097442718,0.959183673063914,0.0630984552914188
"Lung.Clara cell","Seurat",7.46153846153846,4588.38461538462,5.53846153846154,0.00176171843374435,0.573964501802738,0.00350947680775649
"Lung.dendritic cell","Seurat",67.5,11776,1.5,0.00569995515979826,0.97826087474823,0.0113338264636695
"Lung.endothelial cell","Seurat",620.74,9398.84,117.26,0.0869968315213919,0.841111106872559,0.152767985463142
"Lung.epithelial cell","Seurat",6.38,344.76,2.62,0.0338335561845452,0.708888903856277,0.0624151373468339
"Lung.macrophage","Seurat",53.1666666666667,8938.66666666667,15.8333333333333,0.00604798815523585,0.770531406005224,0.0119993089077373
"Lung.T cell","Seurat",35.4444444444444,6927.33333333333,19.5555555555556,0.00521482697998484,0.644444449080361,0.0103355002486043
"Mammary.basal cell","Seurat",1208,23352.8571428571,67,0.0560712388583592,0.947450978415353,0.104866319469043
"Mammary.luminal epithelial cell of mammary gland","Seurat",505,17878.5,47,0.0275535061955452,0.914855092763901,0.0534905325621367
"Marrow.B cell","Seurat",1612.8,27512.1,235.2,0.0603944811969995,0.872727265954018,0.111503858119249
"Marrow.granulocyte","Seurat",371,22758,9,0.0162371667101979,0.976315796375275,0.0319365421310067
"Marrow.hematopoietic stem cell","Seurat",838.4,4909.34,452.6,0.285086936280131,0.649419055581093,0.332461360245943
"Marrow.monocyte","Seurat",217.06,5821.54,106.94,0.0605118529126048,0.669938272833824,0.103777935318649
"Marrow.natural killer cell","Seurat",109.571428571429,4706.85714285714,26.4285714285714,0.0245697913425309,0.805672270911081,0.0475433660405023
"Marrow.neutrophil","Seurat",479.1875,8920.3125,119.8125,0.0558498501777649,0.799979129806161,0.103530941531062
"Marrow.T cell","Seurat",74,5867,68,0.0129324367735535,0.521126769483089,0.0251511824317276
"Muscle.skeletal muscle satellite cell","Seurat",530.5,31448,15.5,0.0171276565330724,0.971611728270849,0.0336380756149689
"Pancreas.pancreatic A cell","Seurat",281.428571428571,21133.5714285714,5.57142857142857,0.0176062069700233,0.980587346213205,0.0344449283022966
"Pancreas.pancreatic ductal cell","Seurat",129,17976,2,0.00712510384619236,0.984732806682587,0.0141478404402733
"Pancreas.type B pancreatic cell","Seurat",396.333333333333,12837,14.6666666666667,0.0325620540728172,0.964314699172974,0.0628410317003727
"Spleen.B cell","Seurat",950.52380952381,17018.2380952381,287.47619047619,0.0596650613560563,0.767789829344977,0.109645037601391
"Spleen.T cell","Seurat",291.181818181818,17153.6363636364,111.818181818182,0.0182321425527334,0.722535518082705,0.0354299770498818
"Thymus.T cell","Seurat",1034.83333333333,33254.3333333333,215.166666666667,0.02855926224341,0.827866666018963,0.0551272475471099
