"atlas","tissue","celltype","method","no_of_markers","loading_time","query_time"
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","seurat-sparseMatrix","4",1.83100000000002,0.444000000000074
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","loom-1000","4",0.163999999999987,0.310999999999922
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","loom-5000","4",0.189000000000021,0.275000000000091
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","scfind","5",0.841999999999985,0.0230000000000246
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","sce","5",1.77600000000001,0.231999999999971
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","sce-sparseMatrix","5",1.29399999999998,0.283999999999992
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","seurat","5",1.37200000000001,0.587999999999965
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","seurat-sparseMatrix","5",1.83100000000002,1.09199999999998
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","loom-1000","5",0.163999999999987,0.357999999999947
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","loom-5000","5",0.189000000000021,0.375999999999976
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","scfind","6",0.841999999999985,0.0230000000000246
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","sce","6",1.77600000000001,0.230000000000018
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","sce-sparseMatrix","6",1.29399999999998,0.336000000000013
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","seurat","6",1.37200000000001,0.629000000000019
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","seurat-sparseMatrix","6",1.83100000000002,0.675000000000068
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","loom-1000","6",0.163999999999987,0.260999999999967
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","loom-5000","6",0.189000000000021,0.282000000000039
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","scfind","1",0.841999999999985,0.0190000000000055
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","sce","1",1.77600000000001,0.227999999999952
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","sce-sparseMatrix","1",1.29399999999998,0.315999999999917
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","seurat","1",1.37200000000001,0.0589999999999691
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","seurat-sparseMatrix","1",1.83100000000002,0.0579999999999927
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","loom-1000","1",0.163999999999987,0.341000000000008
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","loom-5000","1",0.189000000000021,0.351999999999975
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","scfind","2",0.841999999999985,0.0230000000000246
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","sce","2",1.77600000000001,0.227999999999952
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","sce-sparseMatrix","2",1.29399999999998,0.329000000000065
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","seurat","2",1.37200000000001,0.248000000000047
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","seurat-sparseMatrix","2",1.83100000000002,0.242999999999938
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","loom-1000","2",0.163999999999987,0.256000000000085
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","loom-5000","2",0.189000000000021,0.237999999999943
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","scfind","3",0.841999999999985,0.0209999999999582
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","sce","3",1.77600000000001,0.252999999999929
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","sce-sparseMatrix","3",1.29399999999998,0.26400000000001
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","seurat","3",1.37200000000001,0.341999999999985
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","seurat-sparseMatrix","3",1.83100000000002,0.341000000000008
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","loom-1000","3",0.163999999999987,0.271000000000072
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","loom-5000","3",0.189000000000021,0.236999999999966
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","scfind","4",0.841999999999985,0.0230000000000246
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","sce","4",1.77600000000001,0.283999999999992
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","sce-sparseMatrix","4",1.29399999999998,0.280999999999949
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","seurat","4",1.37200000000001,0.453999999999951
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","seurat-sparseMatrix","4",1.83100000000002,0.436000000000035
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","loom-1000","4",0.163999999999987,0.364000000000033
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","loom-5000","4",0.189000000000021,0.272000000000048
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","scfind","5",0.841999999999985,0.0220000000000482
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","sce","5",1.77600000000001,0.230000000000018
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","sce-sparseMatrix","5",1.29399999999998,0.280999999999949
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","seurat","5",1.37200000000001,1.04700000000003
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","seurat-sparseMatrix","5",1.83100000000002,0.561000000000035
"TM, FACS","BrainMicroglia","BrainMicroglia.microglial cell","loom-1000","5",0.163999999999987,0.283999999999992
