"scfind","CellMarker","Tissue"
0.0327868834137917,0.00140449439641088,"Kidney"
0.0307692307978868,0.00145503389649093,"Kidney"
0.030303031206131,0.00149889918975532,"Kidney"
0.030303031206131,0.00164095824584365,"Kidney"
0.030303031206131,0.00169945741072297,"Kidney"
0.0298507455736399,0.00174759700894356,"Kidney"
0.0298507455736399,0.00179808563552797,"Kidney"
0.0298507455736399,0.00182149361353368,"Kidney"
0.0298507455736399,0.00188758387230337,"Kidney"
0.0294117648154497,0.0018893611850217,"Kidney"
0.0294117648154497,0.00190930790267885,"Kidney"
0.0294117648154497,0.00193278200458735,"Kidney"
0.028985507786274,0.00197608931921422,"Kidney"
0.028985507786274,0.00197677290998399,"Kidney"
0.028985507786274,0.00208499422296882,"Kidney"
0.0288924556225538,0.00208659353666008,"Kidney"
0.0281690135598183,0.00210439646616578,"Kidney"
0.0281690135598183,0.00220451923087239,"Kidney"
0.0277777779847383,0.00220567965880036,"Kidney"
0.027530362829566,0.00222739716991782,"Kidney"
0.027515722438693,0.00222847750410438,"Kidney"
0.0273972600698471,0.00231366720981896,"Kidney"
0.0273972600698471,0.00234237732365727,"Kidney"
0.0263157896697521,0.00235380651429296,"Kidney"
0.0260972734540701,0.00236286921426654,"Kidney"
0.0256410259753466,0.00236686388961971,"Kidney"
0.025000000372529,0.00244456087239087,"Kidney"
0.025000000372529,0.00248729321174324,"Kidney"
0.0246913582086563,0.0024915907997638,"Kidney"
0.0240963846445084,0.00250371638685465,"Kidney"
0.0240073893219233,0.00253267982043326,"Kidney"
0.0239520967006683,0.00253324885852635,"Kidney"
0.023554602637887,0.0025683359708637,"Kidney"
0.0232558138668537,0.00258899666368961,"Kidney"
0.0227272734045982,0.00259788450784981,"Kidney"
0.0224719103425741,0.00260209594853222,"Kidney"
0.0224719103425741,0.00261194026097655,"Kidney"
0.0222222227603197,0.00264573586173356,"Kidney"
0.0222222227603197,0.00267988746054471,"Kidney"
0.0217835269868374,0.00271186442114413,"Kidney"
0.0217391308397055,0.00277891266159713,"Kidney"
0.020833333954215,0.0028180128429085,"Kidney"
0.020833333954215,0.0028678581584245,"Kidney"
0.0206185560673475,0.00289315986447036,"Kidney"
0.0205479450523853,0.00290310895070434,"Kidney"
0.0202020201832056,0.00290768127888441,"Kidney"
0.01970443315804,0.00294482335448265,"Kidney"
0.0192307699471712,0.00298953661695123,"Kidney"
0.0188679248094559,0.00300225149840117,"Kidney"
0.0188157167285681,0.00301861483603716,"Kidney"
0.0186915881931782,0.00305052427574992,"Kidney"
0.0186915881931782,0.00313075538724661,"Kidney"
0.0186915881931782,0.00313211837783456,"Kidney"
0.0185758508741856,0.00314712827093899,"Kidney"
0.0185185186564922,0.00316848047077656,"Kidney"
0.0183486230671406,0.00319758430123329,"Kidney"
0.0182415172457695,0.00320783373899758,"Kidney"
0.0181818176060915,0.00327667407691479,"Kidney"
0.0180180184543133,0.00339379743672907,"Kidney"
0.0180180184543133,0.00340513722039759,"Kidney"
0.0173913035541773,0.00342687801457942,"Kidney"
0.0173913035541773,0.00348432059399784,"Kidney"
0.0171779152005911,0.00365965231321752,"Kidney"
