	Atlas	cellType	gene
219	MCA	BoneMarrow.Monocyte progenitor cell_Ctsg high	92
220	MCA	BoneMarrow.Monocyte progenitor cell_Prtn3 high	34
221	MCA	BoneMarrow.Monocyte_Mif high	1212
222	MCA	BoneMarrow.Monocyte_Prtn3 high	7
223	MCA	BoneMarrow.Multipotent progenitor_Ctla2a high	37
224	MCA	BoneMarrow.Neutrophil progenitor	15
225	MCA	BoneMarrow.Neutrophil_Cebpe high	13
226	MCA	BoneMarrow.Neutrophil_Fcnb high	25
227	MCA	BoneMarrow.Neutrophil_Ighg1 high	14
228	MCA	BoneMarrow.Neutrophil_Lcn2 high	15
229	MCA	BoneMarrow.Neutrophil_Ltf high	20
230	MCA	BoneMarrow.Neutrophil_Mmp8 high	12
231	MCA	BoneMarrow.Neutrophil_Ngp high	10
232	MCA	BoneMarrow.Neutrophil_Retnlg high	8
233	MCA	BoneMarrow.Pre-pro B cell	11
234	MCA	BoneMarrow.T cell_Ms4a4b high	23
235	MCA	Brain.Astrocyte_Atp1b2 high	9
236	MCA	Brain.Astrocyte_Mfe8 high	15
237	MCA	Brain.Astrocyte_Pla2g7 high	16
238	MCA	Brain.Astroglial cell	21
239	MCA	Brain.Granulocyte_Il33 high	7
240	MCA	Brain.Granulocyte_Ngp high	20
241	MCA	Brain.Hypothalamic ependymal cell	35
242	MCA	Brain.Macrophage_Klf2 high	19
243	MCA	Brain.Macrophage_Lyz2 high	6
244	MCA	Brain.Microglia	4
245	MCA	Brain.Myelinating oligodendrocyte	13
246	MCA	Brain.Neuron	0
247	MCA	Brain.Oligodendrocyte precursor cell	5
248	MCA	Brain.Pan-GABAergic	11
249	MCA	Brain.Schwann cell	14
250	MCA	EmbryonicMesenchyme.Dendritic Cell	27
251	MCA	EmbryonicMesenchyme.Endothelial Cell	18
252	MCA	EmbryonicMesenchyme.Erythroblast_Hbb-bs high	9
253	MCA	EmbryonicMesenchyme.Erythroblast_Mt2 high	76
254	MCA	EmbryonicMesenchyme.Erythroid Cell	8
255	MCA	EmbryonicMesenchyme.Ganglion cell_Cartpt high	14
256	MCA	EmbryonicMesenchyme.Ganglion cell_Gal high	27
257	MCA	EmbryonicMesenchyme.Ganglion cell_Mapt high	11
258	MCA	EmbryonicMesenchyme.Lymphoid progenitor cell	41
259	MCA	EmbryonicMesenchyme.Macrophage	15
260	MCA	EmbryonicMesenchyme.Muscle	21
261	MCA	EmbryonicMesenchyme.Neuron_Igfbpl1 high	9
262	MCA	EmbryonicMesenchyme.Neuron_Isl1 high	13
263	MCA	EmbryonicMesenchyme.Neuron_Npy high	11
264	MCA	EmbryonicMesenchyme.Neuronal Progenitors	10
265	MCA	EmbryonicMesenchyme.Neutrophil	20
266	MCA	EmbryonicMesenchyme.Progenitor cell_Ptprcap high	67
267	MCA	EmbryonicMesenchyme.Reproductive tissues	20
268	MCA	EmbryonicMesenchyme.Skeletal Muscle	27
269	MCA	EmbryonicMesenchyme.Stromal Cell Cldn11 high	11
