"type","no_of_genes","score","query"
"precision, tissue","1",0.934479934479934,"AND query"
"recall, tissue","1",0.962057335581788,"AND query"
"precision","2",0.93369663941871,"AND query"
"recall","2",0.866779089376054,"AND query"
"precision, tissue","2",0.975332068311195,"AND query"
"recall, tissue","2",0.866779089376054,"AND query"
"precision","3",0.966773847802787,"AND query"
"recall","3",0.760539629005059,"AND query"
"precision, tissue","3",0.982570806100218,"AND query"
"recall, tissue","3",0.760539629005059,"AND query"
"precision","4",0.975990396158463,"AND query"
"recall","4",0.685497470489039,"AND query"
"precision, tissue","4",0.985454545454545,"AND query"
"recall, tissue","4",0.685497470489039,"AND query"
"precision","5",0.975578406169666,"AND query"
"recall","5",0.639966273187184,"AND query"
"precision, tissue","5",0.98443579766537,"AND query"
"recall, tissue","5",0.639966273187184,"AND query"
"precision","1",0.729166666666667,"AND query"
"recall","1",0.866336633663366,"AND query"
"precision, tissue","1",0.833333333333333,"AND query"
"recall, tissue","1",0.866336633663366,"AND query"
"precision","2",1,"AND query"
"recall","2",0.608910891089109,"AND query"
"precision, tissue","2",1,"AND query"
"recall, tissue","2",0.608910891089109,"AND query"
"precision","3",1,"AND query"
"recall","3",0.599009900990099,"AND query"
"precision, tissue","3",1,"AND query"
"recall, tissue","3",0.599009900990099,"AND query"
"precision","4",1,"AND query"
"recall","4",0.594059405940594,"AND query"
"precision, tissue","4",1,"AND query"
"recall, tissue","4",0.594059405940594,"AND query"
"precision","5",1,"AND query"
"recall","5",0.594059405940594,"AND query"
"precision, tissue","5",1,"AND query"
"recall, tissue","5",0.594059405940594,"AND query"
"precision","1",0.104166666666667,"AND query"
"recall","1",0.714285714285714,"AND query"
"precision, tissue","1",0.833333333333333,"AND query"
"recall, tissue","1",0.714285714285714,"AND query"
"precision","2",0.909090909090909,"AND query"
"recall","2",0.714285714285714,"AND query"
"precision, tissue","2",0.909090909090909,"AND query"
"recall, tissue","2",0.714285714285714,"AND query"
"precision","3",1,"AND query"
"recall","3",0.285714285714286,"AND query"
"precision, tissue","3",1,"AND query"
"recall, tissue","3",0.285714285714286,"AND query"
"precision","1",0.0778816199376947,"AND query"
"recall","1",0.284090909090909,"AND query"
"precision, tissue","1",0.154798761609907,"AND query"
"recall, tissue","1",0.284090909090909,"AND query"
"precision","2",0.217821782178218,"AND query"
"recall","2",0.25,"AND query"
"precision, tissue","2",0.232804232804233,"AND query"
"recall, tissue","2",0.25,"AND query"
"precision","3",0.254545454545455,"AND query"
"recall","3",0.238636363636364,"AND query"
"precision, tissue","3",0.257668711656442,"AND query"
"recall, tissue","3",0.238636363636364,"AND query"
"precision","4",0.353846153846154,"AND query"
"recall","4",0.130681818181818,"AND query"
"precision, tissue","4",0.359375,"AND query"
"recall, tissue","4",0.130681818181818,"AND query"
"precision","5",0.666666666666667,"AND query"
"recall","5",0.0340909090909091,"AND query"
"precision, tissue","5",0.666666666666667,"AND query"
