"type","no_of_genes","score","query"
"recall, tissue","1",0.633333333333333,"OR query"
"precision","2",0.0819672131147541,"OR query"
"recall","2",0.833333333333333,"OR query"
"precision, tissue","2",0.294117647058824,"OR query"
"recall, tissue","2",0.833333333333333,"OR query"
"precision","3",0.0589519650655022,"OR query"
"recall","3",0.9,"OR query"
"precision, tissue","3",0.293478260869565,"OR query"
"recall, tissue","3",0.9,"OR query"
"precision","4",0.0448504983388704,"OR query"
"recall","4",0.9,"OR query"
"precision, tissue","4",0.15606936416185,"OR query"
"recall, tissue","4",0.9,"OR query"
"precision","5",0.0340479192938209,"OR query"
"recall","5",0.9,"OR query"
"precision, tissue","5",0.0909090909090909,"OR query"
"recall, tissue","5",0.9,"OR query"
"precision","1",0.378289473684211,"OR query"
"recall","1",0.871212121212121,"OR query"
"precision, tissue","1",0.833333333333333,"OR query"
"recall, tissue","1",0.871212121212121,"OR query"
"precision","2",0.284424379232506,"OR query"
"recall","2",0.954545454545455,"OR query"
"precision, tissue","2",0.792452830188679,"OR query"
"recall, tissue","2",0.954545454545455,"OR query"
"precision","3",0.258655804480652,"OR query"
"recall","3",0.962121212121212,"OR query"
"precision, tissue","3",0.783950617283951,"OR query"
"recall, tissue","3",0.962121212121212,"OR query"
"precision","4",0.181434599156118,"OR query"
"recall","4",0.977272727272727,"OR query"
"precision, tissue","4",0.43,"OR query"
"recall, tissue","4",0.977272727272727,"OR query"
"precision","5",0.145251396648045,"OR query"
"recall","5",0.984848484848485,"OR query"
"precision, tissue","5",0.422077922077922,"OR query"
"recall, tissue","5",0.984848484848485,"OR query"
"precision","1",0.782222222222222,"OR query"
"recall","1",0.5632,"OR query"
"precision, tissue","1",0.96969696969697,"OR query"
"recall, tissue","1",0.5632,"OR query"
"precision","2",0.455970149253731,"OR query"
"recall","2",0.9776,"OR query"
"precision, tissue","2",0.903846153846154,"OR query"
"recall, tissue","2",0.9776,"OR query"
"precision","3",0.355324074074074,"OR query"
"recall","3",0.9824,"OR query"
"precision, tissue","3",0.872159090909091,"OR query"
"recall, tissue","3",0.9824,"OR query"
"precision","4",0.344326439351593,"OR query"
"recall","4",0.9856,"OR query"
"precision, tissue","4",0.841530054644809,"OR query"
"recall, tissue","4",0.9856,"OR query"
"precision","5",0.296650717703349,"OR query"
"recall","5",0.992,"OR query"
"precision, tissue","5",0.62124248496994,"OR query"
"recall, tissue","5",0.992,"OR query"
"precision","1",0.752941176470588,"OR query"
"recall","1",0.653061224489796,"OR query"
"precision, tissue","1",0.888888888888889,"OR query"
"recall, tissue","1",0.653061224489796,"OR query"
"precision","2",0.547169811320755,"OR query"
"recall","2",0.887755102040816,"OR query"
"precision, tissue","2",0.848780487804878,"OR query"
"recall, tissue","2",0.887755102040816,"OR query"
"precision","3",0.358095238095238,"OR query"
"recall","3",0.959183673469388,"OR query"
"precision, tissue","3",0.598726114649682,"OR query"
"recall, tissue","3",0.959183673469388,"OR query"
"precision","4",0.33996383363472,"OR query"
"recall","4",0.959183673469388,"OR query"
"precision, tissue","4",0.589341692789969,"OR query"
"recall, tissue","4",0.959183673469388,"OR query"
"precision","5",0.3125,"OR query"
"recall","5",0.969387755102041,"OR query"
"precision, tissue","5",0.575757575757576,"OR query"
"recall, tissue","5",0.969387755102041,"OR query"
"precision","1",0.325581395348837,"OR query"
"recall","1",0.388888888888889,"OR query"
"precision, tissue","1",0.636363636363636,"OR query"
"recall, tissue","1",0.388888888888889,"OR query"
"precision","2",0.180555555555556,"OR query"
"recall","2",0.722222222222222,"OR query"
"precision, tissue","2",0.490566037735849,"OR query"
"recall, tissue","2",0.722222222222222,"OR query"
"precision","3",0.111510791366906,"OR query"
"recall","3",0.861111111111111,"OR query"
"precision, tissue","3",0.455882352941176,"OR query"
"recall, tissue","3",0.861111111111111,"OR query"
"precision","4",0.102310231023102,"OR query"
"recall","4",0.861111111111111,"OR query"
"precision, tissue","4",0.442857142857143,"OR query"
"recall, tissue","4",0.861111111111111,"OR query"
"precision","5",0.0849315068493151,"OR query"
"recall","5",0.861111111111111,"OR query"
"precision, tissue","5",0.31,"OR query"
"recall, tissue","5",0.861111111111111,"OR query"
"precision","1",0.743322475570033,"OR query"
"recall","1",0.962057335581788,"OR query"
"precision, tissue","1",0.934479934479934,"OR query"
"recall, tissue","1",0.962057335581788,"OR query"
"precision","2",0.641961852861035,"OR query"
"recall","2",0.993254637436762,"OR query"
"precision, tissue","2",0.91601866251944,"OR query"
"recall, tissue","2",0.993254637436762,"OR query"
"precision","3",0.539515760621288,"OR query"
"recall","3",0.995784148397976,"OR query"
"precision, tissue","3",0.851478010093727,"OR query"
"recall, tissue","3",0.995784148397976,"OR query"
"precision","4",0.465748031496063,"OR query"
"recall","4",0.997470489038786,"OR query"
"precision, tissue","4",0.802033898305085,"OR query"
"recall, tissue","4",0.997470489038786,"OR query"
"precision","5",0.404030054644809,"OR query"
"recall","5",0.997470489038786,"OR query"
"precision, tissue","5",0.720901889092017,"OR query"
"recall, tissue","5",0.997470489038786,"OR query"
"precision","1",0.729166666666667,"OR query"
"recall","1",0.866336633663366,"OR query"
"precision, tissue","1",0.833333333333333,"OR query"
"recall, tissue","1",0.866336633663366,"OR query"
"precision","2",0.65,"OR query"
"recall","2",0.900990099009901,"OR query"
"precision, tissue","2",0.777777777777778,"OR query"
"recall, tissue","2",0.900990099009901,"OR query"
"precision","3",0.421166306695464,"OR query"
"recall","3",0.965346534653465,"OR query"
"precision, tissue","3",0.741444866920152,"OR query"
"recall, tissue","3",0.965346534653465,"OR query"
"precision","4",0.311811023622047,"OR query"
"recall","4",0.98019801980198,"OR query"
"precision, tissue","4",0.613003095975232,"OR query"
"recall, tissue","4",0.98019801980198,"OR query"
"precision","5",0.231308411214953,"OR query"
"recall","5",0.98019801980198,"OR query"
"precision, tissue","5",0.587537091988131,"OR query"
"recall, tissue","5",0.98019801980198,"OR query"
"precision","1",0.104166666666667,"OR query"
"recall","1",0.714285714285714,"OR query"
"precision, tissue","1",0.833333333333333,"OR query"
"recall, tissue","1",0.714285714285714,"OR query"
"precision","2",0.0507246376811594,"OR query"
"recall","2",1,"OR query"
"precision, tissue","2",0.12962962962963,"OR query"
"recall, tissue","2",1,"OR query"
"precision","3",0.0426829268292683,"OR query"
"recall","3",1,"OR query"
"precision, tissue","3",0.121739130434783,"OR query"
"recall, tissue","3",1,"OR query"
"precision","4",0.0303030303030303,"OR query"
"recall","4",1,"OR query"
"precision, tissue","4",0.0903225806451613,"OR query"
"recall, tissue","4",1,"OR query"
"precision","5",0.0295983086680761,"OR query"
"recall","5",1,"OR query"
"precision, tissue","5",0.0897435897435897,"OR query"
"recall, tissue","5",1,"OR query"
"precision","1",0.0778816199376947,"OR query"
"recall","1",0.284090909090909,"OR query"
"precision, tissue","1",0.154798761609907,"OR query"
"recall, tissue","1",0.284090909090909,"OR query"
"precision","2",0.0480721081622434,"OR query"
"recall","2",0.545454545454545,"OR query"
"precision, tissue","2",0.118081180811808,"OR query"
"recall, tissue","2",0.545454545454545,"OR query"
"precision","3",0.0378657487091222,"OR query"
"recall","3",0.625,"OR query"
"precision, tissue","3",0.0989208633093525,"OR query"
"recall, tissue","3",0.625,"OR query"
"precision","4",0.0340012143290832,"OR query"
"recall","4",0.636363636363636,"OR query"
"precision, tissue","4",0.0935672514619883,"OR query"
"recall, tissue","4",0.636363636363636,"OR query"
"precision","5",0.0340566606389391,"OR query"
"recall","5",0.642045454545455,"OR query"
"precision, tissue","5",0.0940882597835137,"OR query"
"recall, tissue","5",0.642045454545455,"OR query"
"precision","1",0.727272727272727,"OR query"
"recall","1",0.355555555555556,"OR query"
"precision, tissue","1",0.888888888888889,"OR query"
"recall, tissue","1",0.355555555555556,"OR query"
"precision","2",0.519230769230769,"OR query"
"recall","2",0.6,"OR query"
"precision, tissue","2",0.692307692307692,"OR query"
"recall, tissue","2",0.6,"OR query"
"precision","3",0.212290502793296,"OR query"
"recall","3",0.844444444444444,"OR query"
"precision, tissue","3",0.567164179104478,"OR query"
"recall, tissue","3",0.844444444444444,"OR query"
"precision","4",0.141843971631206,"OR query"
"recall","4",0.888888888888889,"OR query"
"precision, tissue","4",0.481927710843373,"OR query"
"recall, tissue","4",0.888888888888889,"OR query"
"precision","5",0.119760479041916,"OR query"
"recall","5",0.888888888888889,"OR query"
"precision, tissue","5",0.392156862745098,"OR query"
"recall, tissue","5",0.888888888888889,"OR query"
"precision","1",0.701810436634718,"OR query"
"recall","1",0.842710997442455,"OR query"
"precision, tissue","1",0.808588957055215,"OR query"
"recall, tissue","1",0.842710997442455,"OR query"
"precision","2",0.568642745709828,"OR query"
"recall","2",0.932225063938619,"OR query"
"precision, tissue","2",0.689035916824197,"OR query"
"recall, tissue","2",0.932225063938619,"OR query"
"precision","3",0.43034404963339,"OR query"
"recall","3",0.975703324808184,"OR query"
"precision, tissue","3",0.61186848436247,"OR query"
"recall, tissue","3",0.975703324808184,"OR query"
"precision","4",0.381330685203575,"OR query"
"recall","4",0.982097186700767,"OR query"
"precision, tissue","4",0.548571428571429,"OR query"
"recall, tissue","4",0.982097186700767,"OR query"
"precision","5",0.338138925294889,"OR query"
"recall","5",0.989769820971867,"OR query"
"precision, tissue","5",0.519811954331766,"OR query"
"recall, tissue","5",0.989769820971867,"OR query"
"precision","1",0.346153846153846,"OR query"
"recall","1",0.36,"OR query"
"precision, tissue","1",0.473684210526316,"OR query"
"recall, tissue","1",0.36,"OR query"
"precision","2",0.234567901234568,"OR query"
"recall","2",0.76,"OR query"
"precision, tissue","2",0.487179487179487,"OR query"
"recall, tissue","2",0.76,"OR query"
"precision","3",0.169491525423729,"OR query"
"recall","3",0.8,"OR query"
"precision, tissue","3",0.327868852459016,"OR query"
"recall, tissue","3",0.8,"OR query"
"precision","4",0.124260355029586,"OR query"
"recall","4",0.84,"OR query"
"precision, tissue","4",0.291666666666667,"OR query"
"recall, tissue","4",0.84,"OR query"
"precision","5",0.106060606060606,"OR query"
"recall","5",0.84,"OR query"
"precision, tissue","5",0.28,"OR query"
"recall, tissue","5",0.84,"OR query"
"precision","1",0.65959595959596,"OR query"
"recall","1",0.728388176240937,"OR query"
"precision, tissue","1",0.776918500892326,"OR query"
"recall, tissue","1",0.728388176240937,"OR query"
"precision","2",0.553251318101933,"OR query"
"recall","2",0.877858337981037,"OR query"
"precision, tissue","2",0.716431497496586,"OR query"
"recall, tissue","2",0.877858337981037,"OR query"
"precision","3",0.493443122903324,"OR query"
"recall","3",0.902398215281651,"OR query"
"precision, tissue","3",0.650844730490748,"OR query"
"recall, tissue","3",0.902398215281651,"OR query"
"precision","4",0.390869861458097,"OR query"
"recall","4",0.959843837144451,"OR query"
"precision, tissue","4",0.529212792127921,"OR query"
"recall, tissue","4",0.959843837144451,"OR query"
"precision","5",0.356113627006999,"OR query"
"recall","5",0.964863357501394,"OR query"
"precision, tissue","5",0.522185330516148,"OR query"
"recall, tissue","5",0.964863357501394,"OR query"
"precision","1",0.7217125382263,"OR query"
"recall","1",0.86977886977887,"OR query"
"precision, tissue","1",0.875154511742892,"OR query"
"recall, tissue","1",0.86977886977887,"OR query"
"precision","2",0.610128617363344,"OR query"
"recall","2",0.932432432432432,"OR query"
"precision, tissue","2",0.800632911392405,"OR query"
"recall, tissue","2",0.932432432432432,"OR query"
"precision","3",0.473361910593999,"OR query"
"recall","3",0.94963144963145,"OR query"
"precision, tissue","3",0.7548828125,"OR query"
"recall, tissue","3",0.94963144963145,"OR query"
"precision","4",0.368797709923664,"OR query"
"recall","4",0.94963144963145,"OR query"
"precision, tissue","4",0.686500888099467,"OR query"
"recall, tissue","4",0.94963144963145,"OR query"
"precision","5",0.340490797546012,"OR query"
"recall","5",0.954545454545455,"OR query"
"precision, tissue","5",0.673894189071986,"OR query"
"recall, tissue","5",0.954545454545455,"OR query"
"precision","1",0.148455162019593,"OR query"
"recall","1",0.768031189083821,"OR query"
"precision, tissue","1",0.854663774403471,"OR query"
"recall, tissue","1",0.768031189083821,"OR query"
"precision","2",0.138779527559055,"OR query"
"recall","2",0.824561403508772,"OR query"
"precision, tissue","2",0.763537906137184,"OR query"
"recall, tissue","2",0.824561403508772,"OR query"
"precision","3",0.127169274537696,"OR query"
"recall","3",0.871345029239766,"OR query"
"precision, tissue","3",0.696261682242991,"OR query"
"recall, tissue","3",0.871345029239766,"OR query"
"precision","4",0.0941823005495547,"OR query"
"recall","4",0.968810916179337,"OR query"
"precision, tissue","4",0.641290322580645,"OR query"
"recall, tissue","4",0.968810916179337,"OR query"
"precision","5",0.075186846038864,"OR query"
"recall","5",0.980506822612086,"OR query"
"precision, tissue","5",0.426271186440678,"OR query"
"recall, tissue","5",0.980506822612086,"OR query"
"precision","1",0.19311761684643,"OR query"
"recall","1",0.63728813559322,"OR query"
"precision, tissue","1",0.906024096385542,"OR query"
"recall, tissue","1",0.63728813559322,"OR query"
"precision","2",0.151315789473684,"OR query"
"recall","2",0.857627118644068,"OR query"
"precision, tissue","2",0.712676056338028,"OR query"
"recall, tissue","2",0.857627118644068,"OR query"
"precision","3",0.122310570626754,"OR query"
"recall","3",0.886440677966102,"OR query"
"precision, tissue","3",0.64329643296433,"OR query"
"recall, tissue","3",0.886440677966102,"OR query"
"precision","4",0.10533569600315,"OR query"
"recall","4",0.906779661016949,"OR query"
"precision, tissue","4",0.625,"OR query"
"recall, tissue","4",0.906779661016949,"OR query"
"precision","5",0.0954100051572976,"OR query"
"recall","5",0.940677966101695,"OR query"
"precision, tissue","5",0.613938053097345,"OR query"
"recall, tissue","5",0.940677966101695,"OR query"
"precision","1",0.186046511627907,"OR query"
"recall","1",0.156862745098039,"OR query"
"precision, tissue","1",0.8,"OR query"
"recall, tissue","1",0.156862745098039,"OR query"
"precision","2",0.145454545454545,"OR query"
"recall","2",0.156862745098039,"OR query"
"precision, tissue","2",0.8,"OR query"
"recall, tissue","2",0.156862745098039,"OR query"
"precision","3",0.115789473684211,"OR query"
"recall","3",0.215686274509804,"OR query"
"precision, tissue","3",0.733333333333333,"OR query"
"recall, tissue","3",0.215686274509804,"OR query"
"precision","4",0.0948275862068965,"OR query"
"recall","4",0.215686274509804,"OR query"
"precision, tissue","4",0.733333333333333,"OR query"
"recall, tissue","4",0.215686274509804,"OR query"
"precision","5",0.0774647887323944,"OR query"
"recall","5",0.215686274509804,"OR query"
"precision, tissue","5",0.647058823529412,"OR query"
"recall, tissue","5",0.215686274509804,"OR query"
"precision","1",0.489451476793249,"OR query"
"recall","1",0.28361858190709,"OR query"
"precision, tissue","1",0.859259259259259,"OR query"
"recall, tissue","1",0.28361858190709,"OR query"
"precision","2",0.235454545454545,"OR query"
"recall","2",0.633251833740831,"OR query"
"precision, tissue","2",0.755102040816326,"OR query"
"recall, tissue","2",0.633251833740831,"OR query"
"precision","3",0.207771609833466,"OR query"
"recall","3",0.640586797066015,"OR query"
"precision, tissue","3",0.696808510638298,"OR query"
"recall, tissue","3",0.640586797066015,"OR query"
"precision","4",0.18953323903819,"OR query"
"recall","4",0.655256723716381,"OR query"
"precision, tissue","4",0.658476658476658,"OR query"
"recall, tissue","4",0.655256723716381,"OR query"
"precision","5",0.152862701500834,"OR query"
"recall","5",0.672371638141809,"OR query"
"precision, tissue","5",0.55668016194332,"OR query"
"recall, tissue","5",0.672371638141809,"OR query"
"precision","1",0.403890160183066,"OR query"
"recall","1",0.733887733887734,"OR query"
"precision, tissue","1",0.939454424484365,"OR query"
"recall, tissue","1",0.733887733887734,"OR query"
"precision","2",0.291786055396371,"OR query"
"recall","2",0.952702702702703,"OR query"
"precision, tissue","2",0.929984779299848,"OR query"
"recall, tissue","2",0.952702702702703,"OR query"
"precision","3",0.244794377928162,"OR query"
"recall","3",0.977650727650728,"OR query"
"precision, tissue","3",0.900430828147439,"OR query"
"recall, tissue","3",0.977650727650728,"OR query"
"precision","4",0.216618911174785,"OR query"
"recall","4",0.982328482328482,"OR query"
"precision, tissue","4",0.859872611464968,"OR query"
"recall, tissue","4",0.982328482328482,"OR query"
"precision","5",0.191728182829406,"OR query"
"recall","5",0.985446985446986,"OR query"
"precision, tissue","5",0.775777414075286,"OR query"
"recall, tissue","5",0.985446985446986,"OR query"
"precision","1",0.298861480075901,"OR query"
"recall","1",0.657620041753653,"OR query"
"precision, tissue","1",0.598859315589354,"OR query"
"recall, tissue","1",0.657620041753653,"OR query"
"precision","2",0.237047551454933,"OR query"
"recall","2",0.697286012526096,"OR query"
"precision, tissue","2",0.552980132450331,"OR query"
"recall, tissue","2",0.697286012526096,"OR query"
"precision","3",0.222222222222222,"OR query"
"recall","3",0.701461377870564,"OR query"
"precision, tissue","3",0.541062801932367,"OR query"
"recall, tissue","3",0.701461377870564,"OR query"
"precision","4",0.161620658949243,"OR query"
"recall","4",0.757828810020877,"OR query"
"precision, tissue","4",0.497942386831276,"OR query"
"recall, tissue","4",0.757828810020877,"OR query"
"precision","5",0.164045898852529,"OR query"
"recall","5",0.805845511482255,"OR query"
"precision, tissue","5",0.506561679790026,"OR query"
"recall, tissue","5",0.805845511482255,"OR query"
"precision","1",0.226086956521739,"OR query"
"recall","1",0.403100775193798,"OR query"
"precision, tissue","1",0.896551724137931,"OR query"
"recall, tissue","1",0.403100775193798,"OR query"
"precision","2",0.203233256351039,"OR query"
"recall","2",0.682170542635659,"OR query"
"precision, tissue","2",0.721311475409836,"OR query"
"recall, tissue","2",0.682170542635659,"OR query"
"precision","3",0.16289592760181,"OR query"
"recall","3",0.837209302325581,"OR query"
"precision, tissue","3",0.679245283018868,"OR query"
"recall, tissue","3",0.837209302325581,"OR query"
"precision","4",0.151351351351351,"OR query"
"recall","4",0.868217054263566,"OR query"
"precision, tissue","4",0.662721893491124,"OR query"
"recall, tissue","4",0.868217054263566,"OR query"
"precision","5",0.136904761904762,"OR query"
"recall","5",0.891472868217054,"OR query"
"precision, tissue","5",0.649717514124294,"OR query"
"recall, tissue","5",0.891472868217054,"OR query"
"precision","1",0.206451612903226,"OR query"
"recall","1",0.723981900452489,"OR query"
"precision, tissue","1",0.54421768707483,"OR query"
"recall, tissue","1",0.723981900452489,"OR query"
"precision","2",0.175355450236967,"OR query"
"recall","2",0.83710407239819,"OR query"
"precision, tissue","2",0.505464480874317,"OR query"
"recall, tissue","2",0.83710407239819,"OR query"
"precision","3",0.132506527415144,"OR query"
"recall","3",0.918552036199095,"OR query"
"precision, tissue","3",0.475409836065574,"OR query"
"recall, tissue","3",0.918552036199095,"OR query"
"precision","4",0.110752688172043,"OR query"
"recall","4",0.932126696832579,"OR query"
"precision, tissue","4",0.412825651302605,"OR query"
"recall, tissue","4",0.932126696832579,"OR query"
"precision","5",0.100478468899522,"OR query"
"recall","5",0.950226244343891,"OR query"
"precision, tissue","5",0.372340425531915,"OR query"
"recall, tissue","5",0.950226244343891,"OR query"
"precision","1",0.4,"OR query"
"recall","1",0.592592592592593,"OR query"
"precision, tissue","1",0.941176470588235,"OR query"
"recall, tissue","1",0.592592592592593,"OR query"
"precision","2",0.162393162393162,"OR query"
"recall","2",0.703703703703704,"OR query"
"precision, tissue","2",0.863636363636364,"OR query"
"recall, tissue","2",0.703703703703704,"OR query"
"precision","3",0.0894308943089431,"OR query"
"recall","3",0.814814814814815,"OR query"
"precision, tissue","3",0.758620689655172,"OR query"
"recall, tissue","3",0.814814814814815,"OR query"
"precision","4",0.0689655172413793,"OR query"
"recall","4",0.814814814814815,"OR query"
"precision, tissue","4",0.647058823529412,"OR query"
"recall, tissue","4",0.814814814814815,"OR query"
"precision","5",0.0485611510791367,"OR query"
"recall","5",1,"OR query"
"precision, tissue","5",0.54,"OR query"
"recall, tissue","5",1,"OR query"
"precision","1",0.183579335793358,"OR query"
"recall","1",0.543715846994536,"OR query"
"precision, tissue","1",0.672297297297297,"OR query"
"recall, tissue","1",0.543715846994536,"OR query"
"precision","2",0.122097678142514,"OR query"
"recall","2",0.833333333333333,"OR query"
"precision, tissue","2",0.642105263157895,"OR query"
"recall, tissue","2",0.833333333333333,"OR query"
"precision","3",0.102306327616795,"OR query"
"recall","3",0.945355191256831,"OR query"
"precision, tissue","3",0.63720073664825,"OR query"
"recall, tissue","3",0.945355191256831,"OR query"
"precision","4",0.0913586673607496,"OR query"
"recall","4",0.959016393442623,"OR query"
"precision, tissue","4",0.560702875399361,"OR query"
"recall, tissue","4",0.959016393442623,"OR query"
"precision","5",0.0848965848965849,"OR query"
"recall","5",0.96448087431694,"OR query"
"precision, tissue","5",0.523738872403561,"OR query"
"recall, tissue","5",0.96448087431694,"OR query"
"precision","1",0.75609756097561,"OR query"
"recall","1",0.664285714285714,"OR query"
"precision, tissue","1",0.902912621359223,"OR query"
"recall, tissue","1",0.664285714285714,"OR query"
"precision","2",0.617486338797814,"OR query"
"recall","2",0.807142857142857,"OR query"
"precision, tissue","2",0.801418439716312,"OR query"
"recall, tissue","2",0.807142857142857,"OR query"
"precision","3",0.479508196721311,"OR query"
"recall","3",0.835714285714286,"OR query"
"precision, tissue","3",0.684210526315789,"OR query"
"recall, tissue","3",0.835714285714286,"OR query"
"precision","4",0.449814126394052,"OR query"
"recall","4",0.864285714285714,"OR query"
"precision, tissue","4",0.636842105263158,"OR query"
"recall, tissue","4",0.864285714285714,"OR query"
"precision","5",0.359420289855072,"OR query"
"recall","5",0.885714285714286,"OR query"
"precision, tissue","5",0.527659574468085,"OR query"
"recall, tissue","5",0.885714285714286,"OR query"
"precision","1",0.320754716981132,"OR query"
"recall","1",0.194285714285714,"OR query"
"precision, tissue","1",0.641509433962264,"OR query"
"recall, tissue","1",0.194285714285714,"OR query"
"precision","2",0.168852459016393,"OR query"
"recall","2",0.588571428571429,"OR query"
"precision, tissue","2",0.710344827586207,"OR query"
"recall, tissue","2",0.588571428571429,"OR query"
"precision","3",0.0898812888637648,"OR query"
"recall","3",0.908571428571429,"OR query"
"precision, tissue","3",0.361363636363636,"OR query"
"recall, tissue","3",0.908571428571429,"OR query"
"precision","4",0.0656275635767022,"OR query"
"recall","4",0.914285714285714,"OR query"
"precision, tissue","4",0.225035161744022,"OR query"
"recall, tissue","4",0.914285714285714,"OR query"
"precision","5",0.0495049504950495,"OR query"
"recall","5",0.914285714285714,"OR query"
"precision, tissue","5",0.200250312891114,"OR query"
"recall, tissue","5",0.914285714285714,"OR query"
"precision","1",0.47200821777093,"OR query"
"recall","1",0.724763406940063,"OR query"
"precision, tissue","1",0.899217221135029,"OR query"
"recall, tissue","1",0.724763406940063,"OR query"
"precision","2",0.347675879396985,"OR query"
"recall","2",0.873028391167192,"OR query"
"precision, tissue","2",0.791845493562232,"OR query"
"recall, tissue","2",0.873028391167192,"OR query"
"precision","3",0.315275062831611,"OR query"
"recall","3",0.890378548895899,"OR query"
"precision, tissue","3",0.761808367071525,"OR query"
"recall, tissue","3",0.890378548895899,"OR query"
"precision","4",0.250971083297367,"OR query"
"recall","4",0.917192429022082,"OR query"
"precision, tissue","4",0.723708774113255,"OR query"
"recall, tissue","4",0.917192429022082,"OR query"
"precision","5",0.227592592592593,"OR query"
"recall","5",0.969242902208202,"OR query"
"precision, tissue","5",0.716618075801749,"OR query"
"recall, tissue","5",0.969242902208202,"OR query"
"precision","1",0.13953488372093,"OR query"
"recall","1",0.193548387096774,"OR query"
"precision, tissue","1",0.545454545454545,"OR query"
"recall, tissue","1",0.193548387096774,"OR query"
"precision","2",0.130630630630631,"OR query"
"recall","2",0.311827956989247,"OR query"
"precision, tissue","2",0.318681318681319,"OR query"
"recall, tissue","2",0.311827956989247,"OR query"
"precision","3",0.119718309859155,"OR query"
"recall","3",0.365591397849462,"OR query"
"precision, tissue","3",0.303571428571429,"OR query"
"recall, tissue","3",0.365591397849462,"OR query"
"precision","4",0.0970149253731343,"OR query"
"recall","4",0.419354838709677,"OR query"
"precision, tissue","4",0.284671532846715,"OR query"
"recall, tissue","4",0.419354838709677,"OR query"
"precision","5",0.0960591133004926,"OR query"
"recall","5",0.419354838709677,"OR query"
"precision, tissue","5",0.284671532846715,"OR query"
"recall, tissue","5",0.419354838709677,"OR query"
"precision","1",0.118279569892473,"OR query"
"recall","1",1,"OR query"
"precision, tissue","1",0.189655172413793,"OR query"
"recall, tissue","1",1,"OR query"
"precision","2",0.0585106382978723,"OR query"
"recall","2",1,"OR query"
"precision, tissue","2",0.17741935483871,"OR query"
"recall, tissue","2",1,"OR query"
"precision","3",0.0509259259259259,"OR query"
"recall","3",1,"OR query"
"precision, tissue","3",0.174603174603175,"OR query"
"recall, tissue","3",1,"OR query"
"precision","4",0.0445344129554656,"OR query"
"recall","4",1,"OR query"
"precision, tissue","4",0.164179104477612,"OR query"
"recall, tissue","4",1,"OR query"
"precision","5",0.033033033033033,"OR query"
"recall","5",1,"OR query"
"precision, tissue","5",0.154929577464789,"OR query"
"recall, tissue","5",1,"OR query"
"precision","1",0.621298701298701,"OR query"
"recall","1",0.573071394345951,"OR query"
"precision, tissue","1",0.834030683403068,"OR query"
"recall, tissue","1",0.573071394345951,"OR query"
"precision","2",0.397193280884542,"OR query"
"recall","2",0.895064686152372,"OR query"
"precision, tissue","2",0.860829493087558,"OR query"
"recall, tissue","2",0.895064686152372,"OR query"
"precision","3",0.362845251608021,"OR query"
"recall","3",0.919022520364159,"OR query"
"precision, tissue","3",0.81271186440678,"OR query"
"recall, tissue","3",0.919022520364159,"OR query"
"precision","4",0.297538136233197,"OR query"
"recall","4",0.943938667944418,"OR query"
"precision, tissue","4",0.782677791021057,"OR query"
"recall, tissue","4",0.943938667944418,"OR query"
"precision","5",0.269548719338664,"OR query"
"recall","5",0.953042644944897,"OR query"
"precision, tissue","5",0.769439071566731,"OR query"
"recall, tissue","5",0.953042644944897,"OR query"
"precision","1",0.2,"OR query"
"recall","1",0.117647058823529,"OR query"
"precision, tissue","1",1,"OR query"
"recall, tissue","1",0.117647058823529,"OR query"
"precision","2",0.166666666666667,"OR query"
"recall","2",0.235294117647059,"OR query"
"precision, tissue","2",0.571428571428571,"OR query"
"recall, tissue","2",0.235294117647059,"OR query"
"precision","3",0.0693069306930693,"OR query"
"recall","3",0.411764705882353,"OR query"
"precision, tissue","3",0.304347826086957,"OR query"
"recall, tissue","3",0.411764705882353,"OR query"
"precision","4",0.0769230769230769,"OR query"
"recall","4",0.529411764705882,"OR query"
"precision, tissue","4",0.3,"OR query"
"recall, tissue","4",0.529411764705882,"OR query"
"precision","5",0.0746268656716418,"OR query"
"recall","5",0.588235294117647,"OR query"
"precision, tissue","5",0.3125,"OR query"
"recall, tissue","5",0.588235294117647,"OR query"
"precision","1",0.282961460446247,"OR query"
"recall","1",0.57172131147541,"OR query"
"precision, tissue","1",0.894230769230769,"OR query"
"recall, tissue","1",0.57172131147541,"OR query"
"precision","2",0.250762195121951,"OR query"
"recall","2",0.674180327868853,"OR query"
"precision, tissue","2",0.861256544502618,"OR query"
"recall, tissue","2",0.674180327868853,"OR query"
"precision","3",0.184108527131783,"OR query"
"recall","3",0.778688524590164,"OR query"
"precision, tissue","3",0.838852097130243,"OR query"
"recall, tissue","3",0.778688524590164,"OR query"
"precision","4",0.135405872193437,"OR query"
"recall","4",0.80327868852459,"OR query"
"precision, tissue","4",0.795131845841785,"OR query"
"recall, tissue","4",0.80327868852459,"OR query"
"precision","5",0.134282807731434,"OR query"
"recall","5",0.811475409836066,"OR query"
"precision, tissue","5",0.796780684104628,"OR query"
"recall, tissue","5",0.811475409836066,"OR query"
"precision","1",0.31,"OR query"
"recall","1",0.729411764705882,"OR query"
"precision, tissue","1",0.837837837837838,"OR query"
"recall, tissue","1",0.729411764705882,"OR query"
"precision","2",0.281461434370771,"OR query"
"recall","2",0.815686274509804,"OR query"
"precision, tissue","2",0.8,"OR query"
"recall, tissue","2",0.815686274509804,"OR query"
"precision","3",0.217038539553753,"OR query"
"recall","3",0.83921568627451,"OR query"
