"gene_number","atlas","x","se"
15,"BCA",1.82824999999981,0.593878409087142
16,"BCA",2.25362987012968,0.735143546431335
17,"BCA",2.39233928571611,0.707012689090797
18,"BCA",2.38751181102319,0.629579998235209
19,"BCA",3.42784146341531,1.4798415772228
20,"BCA",3.05800000000025,0.93878108614916
21,"BCA",3.36802941176494,1.19817142014949
22,"BCA",3.44430555555616,1.25417102331052
23,"BCA",5.18176470588378,2.45418282124719
24,"BCA",4.07685937500079,1.48780626377337
25,"BCA",5.86528571428619,2.33395820539075
26,"BCA",7.81759259259245,5.28910836478891
27,"BCA",7.75214583333388,3.00865964924894
28,"BCA",8.96376785714285,4.75163876725517
29,"BCA",16.0769999999995,19.5806048656516
30,"BCA",17.3466382978731,12.2904165155392
31,"BCA",8.72275862068887,3.90039876652828
32,"BCA",14.6088541666656,8.01582765612388
33,"BCA",11.3383157894737,6.7020723282453
34,"BCA",22.724974358974,12.7340530627577
35,"BCA",25.721026315788,24.5447919915398
36,"BCA",33.0081428571422,35.3167466725986
37,"BCA",45.6996052631596,27.7467473014629
38,"BCA",20.4773928571429,13.8930040691087
39,"BCA",44.5350937500019,34.9604258557809
40,"BCA",50.9095199999987,42.8467699978896
41,"BCA",35.1370952380958,19.9058523092605
42,"BCA",94.9984444444435,90.6173702978597
43,"BCA",147.397764705883,107.677700011484
44,"BCA",141.478160000002,107.573037438731
45,"BCA",121.149047619048,90.4732513004232
46,"BCA",125.545846153846,62.0216004490498
47,"BCA",116.985928571428,110.691793499229
48,"BCA",147.121615384616,165.701244914911
49,"BCA",379.350444444443,399.25311832465
50,"BCA",577.956999999998,281.102119801506
51,"BCA",105.201352941174,66.2438960040725
52,"BCA",254.648944444443,206.993179344094
53,"BCA",485.407250000002,373.141633191582
54,"BCA",250.71,168.724939081334
55,"BCA",581.7719,455.595388097108
56,"BCA",161.347153846154,104.885108789705
57,"BCA",107.170999999996,74.6759216796162
58,"BCA",641.08,388.885370406536
59,"BCA",618.999933333333,518.974453089923
4,"TM,
10X",0.0469038112522694,0.0133233782363224
5,"TM,
10X",0.060427656850186,0.0217053293858134
6,"TM,
10X",0.0696864406779656,0.02183028372342
7,"TM,
10X",0.0823029661016849,0.0253688683269399
8,"TM,
10X",0.0966543209876479,0.0274290588568295
9,"TM,
10X",0.104286127167624,0.0279408969740829
10,"TM,
10X",0.117444444444459,0.033216799576941
11,"TM,
10X",0.128249027237357,0.0354073842741577
12,"TM,
10X",0.14217131474103,0.0364129167572822
13,"TM,
10X",0.164010256410234,0.0432797181075728
14,"TM,
10X",0.186209944751372,0.0476880607245268
15,"TM,
10X",0.17612903225807,0.0448160659294837
16,"TM,
10X",0.216538961038964,0.0627985498587164
17,"TM,
10X",0.245321100917447,0.0671935259429178
18,"TM,
10X",0.259899224806199,0.0688505366028755
19,"TM,
10X",0.278674999999992,0.0829131854961129
20,"TM,
10X",0.30885057471262,0.0958808497196064
21,"TM,
10X",0.300208955223872,0.088022811689126
22,"TM,
10X",0.37872463768116,0.121885768219512
23,"TM,
10X",0.461136363636372,0.207014854708367
24,"TM,
10X",0.453301587301589,0.16563955494019
25,"TM,
10X",0.500592105263147,0.164975023202619
26,"TM,
10X",0.529574074074071,0.161673806278601
27,"TM,
10X",0.821687500000007,0.40512845513438
28,"TM,
10X",0.674263157894777,0.245474460794301
29,"TM,
10X",0.70626666666665,0.235401367108105
